Date,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_score,sentiment_polarity
2009-09-16,0.021050567,0.04280736,0.9361421,0.9150915,1
2009-09-18,0.17072691,0.69820714,0.13106602,-0.039660886,0
2009-09-22,0.4952875,0.031071503,0.47364098,-0.02164653,0
2009-09-23,0.5314619,0.016419366,0.45211878,-0.07934311,0
2009-09-25,0.023999594,0.09814809,0.8778524,0.8538528,1
2009-09-28,0.049642637,0.062193736,0.88816357,0.83852094,1
2009-09-30,0.027031446,0.0716812,0.9012874,0.87425596,1
2009-10-01,0.028846897,0.06333007,0.907823,0.8789761,1
2009-10-06,0.4544891,0.029582338,0.5159285,0.061439395,0
2009-10-07,0.19634525,0.03375595,0.76989883,0.57355356,1
2009-10-08,0.03649402,0.40954682,0.55395913,0.5174651,1
2009-10-09,0.30598852,0.012862026,0.6811494,0.3751609,1
2009-10-12,0.14594838,0.016897209,0.83715445,0.6912061,1
2009-10-19,0.5988998,0.054254945,0.3468452,-0.25205457,-1
2009-10-27,0.074800774,0.011872456,0.9133268,0.838526,1
2009-10-28,0.20942736,0.6934254,0.09714714,-0.11228022,-1
2009-10-30,0.02764113,0.071124196,0.9012347,0.87359357,1
2009-11-05,0.18187675,0.019969476,0.7981538,0.6162771,1
2009-11-09,0.028560946,0.06159391,0.9098451,0.8812842,1
2009-11-12,0.010383601,0.969398,0.020218406,0.009834805,0
2009-11-13,0.041797265,0.29393816,0.6642646,0.62246734,1
2009-11-23,0.07301481,0.057299472,0.86968577,0.796671,1
2009-11-24,0.17083634,0.013673241,0.81549037,0.64465404,1
2009-11-25,0.1670331,0.015473387,0.81749344,0.65046036,1
2009-11-27,0.014835577,0.91257286,0.07259158,0.057756003,0
2009-12-03,0.039106164,0.059060194,0.90183365,0.86272746,1
2009-12-07,0.010948831,0.95256233,0.036488894,0.025540063,0
2009-12-10,0.04494179,0.035141084,0.9199171,0.8749753,1
2009-12-14,0.8196031,0.046451446,0.13394547,-0.6856576,-1
2009-12-15,0.029256146,0.6525046,0.31823927,0.28898314,1
2009-12-16,0.33438358,0.027985185,0.63763124,0.30324766,1
2009-12-21,0.042074073,0.025528785,0.9323971,0.89032304,1
2009-12-22,0.920189,0.042055503,0.037755396,-0.88243365,-1
2009-12-30,0.3759131,0.48623753,0.13784933,-0.23806378,-1
2010-01-05,0.091725476,0.28582174,0.6224528,0.5307273,1
2010-01-06,0.022672394,0.5052402,0.4720874,0.44941503,1
2010-01-07,0.03423209,0.02028343,0.9454845,0.91125244,1
2010-01-11,0.046474032,0.030655608,0.92287034,0.8763963,1
2010-01-13,0.034930944,0.49862233,0.46644673,0.43151578,1
2010-01-14,0.03356753,0.041335527,0.9250969,0.8915294,1
2010-01-20,0.092603326,0.010722798,0.89667386,0.80407053,1
2010-01-28,0.03236741,0.045402512,0.9222301,0.8898627,1
2010-02-02,0.061692465,0.016551504,0.92175597,0.8600635,1
2010-02-04,0.029001236,0.0685408,0.902458,0.8734568,1
2010-02-05,0.39407304,0.024942216,0.5809848,0.18691173,1
2010-02-08,0.07493282,0.47414103,0.4509261,0.37599328,1
2010-02-12,0.052053448,0.040599305,0.90734726,0.8552938,1
2010-02-18,0.051849816,0.02966961,0.9184806,0.86663073,1
2010-02-23,0.008824777,0.96486205,0.0263131,0.017488323,0
2010-02-26,0.029619962,0.1136433,0.8567368,0.82711685,1
2010-03-01,0.049225423,0.032064598,0.91870993,0.8694845,1
2010-03-02,0.0543345,0.024766847,0.9208987,0.86656415,1
2010-03-05,0.41757867,0.11362194,0.46879938,0.051220715,0
2010-03-08,0.033094887,0.460919,0.5059861,0.4728912,1
2010-03-09,0.034017224,0.35522777,0.61075497,0.57673776,1
2010-03-10,0.038943563,0.5536417,0.40741476,0.3684712,1
2010-03-12,0.035081662,0.632245,0.3326733,0.29759166,1
2010-03-15,0.34837288,0.097484864,0.5541422,0.2057693,1
2010-03-22,0.039974026,0.03653292,0.923493,0.883519,1
2010-03-24,0.06046497,0.030508135,0.90902686,0.8485619,1
2010-04-01,0.037867688,0.4292128,0.5329195,0.49505183,1
2010-04-05,0.08805841,0.41558838,0.4963533,0.4082949,1
2010-04-12,0.041342005,0.29235983,0.6662981,0.6249561,1
2010-04-14,0.098884545,0.12035346,0.78076196,0.68187743,1
2010-04-15,0.04347907,0.030071165,0.9264498,0.8829707,1
2010-04-19,0.032342207,0.13879499,0.8288628,0.7965206,1
2010-04-22,0.088612825,0.0848829,0.8265043,0.73789144,1
2010-04-23,0.18262778,0.016499763,0.80087245,0.61824465,1
2010-04-28,0.13481683,0.4512761,0.4139071,0.2790903,1
2010-04-30,0.10491601,0.054211274,0.84087276,0.7359568,1
2010-05-04,0.02633402,0.14120686,0.8324591,0.80612504,1
2010-05-05,0.039039604,0.9174973,0.043463167,0.0044235624,0
2010-05-06,0.025720349,0.07318639,0.9010933,0.87537295,1
2010-05-07,0.12298293,0.023518171,0.8534989,0.73051596,1
2010-05-11,0.032776505,0.039687898,0.9275356,0.89475906,1
2010-05-12,0.34359446,0.037657484,0.61874807,0.2751536,1
2010-05-17,0.02576664,0.57910764,0.39512572,0.36935908,1
2010-05-18,0.12092855,0.013878375,0.8651931,0.7442646,1
2010-05-20,0.025297595,0.06863669,0.9060657,0.8807681,1
2010-05-25,0.47449017,0.015505421,0.5100044,0.035514235,0
2010-05-26,0.7482592,0.019526899,0.23221391,-0.5160453,-1
2010-06-01,0.05950355,0.03948362,0.9010129,0.84150934,1
2010-06-07,0.36107603,0.07931559,0.5596084,0.19853237,1
2010-06-08,0.10942562,0.012296185,0.8782782,0.7688526,1
2010-06-11,0.41071853,0.11257225,0.4767092,0.06599066,0
2010-06-14,0.045940798,0.05771712,0.89634204,0.8504012,1
2010-06-15,0.26176918,0.033755004,0.70447576,0.44270658,1
2010-06-21,0.24992222,0.23670368,0.51337415,0.26345193,1
2010-06-22,0.16794382,0.06240465,0.7696516,0.60170776,1
2010-06-23,0.09779295,0.12131134,0.7808957,0.6831027,1
2010-06-28,0.020315554,0.37038505,0.6092994,0.5889839,1
2010-06-29,0.10528708,0.009534136,0.88517874,0.77989167,1
2010-06-30,0.04970956,0.35914123,0.59114915,0.5414396,1
2010-07-06,0.027237693,0.5108022,0.46196008,0.4347224,1
2010-07-07,0.024120178,0.035798524,0.94008136,0.9159612,1
2010-07-13,0.36238813,0.064146414,0.5734654,0.21107727,1
2010-07-14,0.050553057,0.12155167,0.8278953,0.7773422,1
2010-07-20,0.029091997,0.3369016,0.6340064,0.60491437,1
2010-07-21,0.024352865,0.051648334,0.9239988,0.8996459,1
2010-07-26,0.04962021,0.047779728,0.90260005,0.85297984,1
2010-07-30,0.048694782,0.49390048,0.45740476,0.40870997,1
2010-08-02,0.26637423,0.011772863,0.7218529,0.45547867,1
2010-08-04,0.33051705,0.020807615,0.6486754,0.31815833,1
